Tpeak,Ts,sigma,p_Tpeak,p_Ts,p_sigma,delta_BIC_mean,delta_BIC_std
10.0,155.71428571428572,5.142857142857143,0.97,0.46,0.93,32.911919385537765,55.27744361866692
10.0,155.71428571428572,7.214285714285715,0.95,0.53,0.91,17.960053702276213,45.72199516594489
10.0,155.71428571428572,9.285714285714286,0.98,0.53,0.89,14.53168480264181,42.30564224379155
10.0,155.71428571428572,11.357142857142858,1.0,0.54,0.86,9.28138330037768,31.3740852577211
10.0,155.71428571428572,13.42857142857143,0.97,0.58,0.88,15.189640884710183,32.43336511790269
10.0,155.71428571428572,15.500000000000002,0.96,0.58,0.83,21.39382502221937,31.08203026372706
10.0,155.71428571428572,17.571428571428573,0.97,0.62,0.86,37.86539218911268,51.78864966192943
10.0,155.71428571428572,19.642857142857146,0.99,0.53,0.85,51.77559302397749,66.86622884841
10.0,155.71428571428572,21.714285714285715,0.93,0.59,0.78,54.4975535349599,71.701099770276
10.0,155.71428571428572,23.78571428571429,0.95,0.62,0.81,67.91359769760435,83.69507451995972
10.0,155.71428571428572,25.85714285714286,0.95,0.62,0.81,74.8513152764885,95.24905380798441
10.0,155.71428571428572,27.92857142857143,0.89,0.5,0.78,109.02898837881372,108.86838071721112
10.0,155.71428571428572,30.0,0.9,0.51,0.82,135.20796525858336,137.15620873289808
10.0,226.07142857142858,1.0,0.88,0.77,0.95,29.55850971924995,35.84154153474682
10.0,226.07142857142858,3.0714285714285716,0.93,0.51,0.97,26.071691815223673,40.775634117078816
10.0,226.07142857142858,5.142857142857143,0.94,0.51,0.93,27.075341321212164,48.84664203526699
10.0,226.07142857142858,7.214285714285715,0.92,0.59,0.89,13.377334951114118,34.80352101542204
10.0,226.07142857142858,9.285714285714286,0.95,0.54,0.83,12.739845389043678,37.663520326866454
10.0,226.07142857142858,11.357142857142858,0.98,0.52,0.81,14.547620809776774,39.43877827105883
10.0,226.07142857142858,13.42857142857143,0.98,0.41,0.88,22.11046740368895,39.95316496825462
10.0,226.07142857142858,15.500000000000002,0.97,0.48,0.83,26.698423434222015,45.700711658191594
10.0,226.07142857142858,17.571428571428573,0.97,0.59,0.78,32.684681758114735,56.22280380702844
10.0,226.07142857142858,19.642857142857146,0.97,0.51,0.84,50.016933382475926,64.6652306831987
10.0,226.07142857142858,21.714285714285715,0.95,0.64,0.86,72.98924044237636,82.63298683521182
10.0,226.07142857142858,23.78571428571429,0.89,0.52,0.73,59.08331662862734,79.82007075520323
10.0,226.07142857142858,25.85714285714286,0.9,0.57,0.85,70.18359978323423,103.04828165983565
10.0,226.07142857142858,27.92857142857143,0.89,0.55,0.78,98.86883201361019,108.40889890699158
10.0,226.07142857142858,30.0,0.84,0.5,0.76,105.17716357044712,124.99697877438928
10.0,296.42857142857144,1.0,0.82,0.7,0.95,30.383969915180288,48.934847458160405
10.0,296.42857142857144,3.0714285714285716,0.91,0.55,0.95,27.096466432091784,35.36768941895737
10.0,296.42857142857144,5.142857142857143,0.94,0.57,0.9,28.127848698907002,50.34872510351662
10.0,296.42857142857144,7.214285714285715,0.95,0.59,0.93,21.542876577838015,48.418828770552125
10.0,296.42857142857144,9.285714285714286,0.97,0.46,0.83,6.100484407673463,24.359095880557373
10.0,296.42857142857144,11.357142857142858,0.97,0.56,0.77,13.386648130273116,33.43622966581027
10.0,296.42857142857144,13.42857142857143,0.98,0.51,0.8,16.255743404793694,30.450285551697295
10.0,296.42857142857144,15.500000000000002,0.99,0.55,0.88,23.16732950217849,45.10777337299734
10.0,296.42857142857144,17.571428571428573,0.99,0.51,0.76,37.5971485025296,54.85518593670187
10.0,296.42857142857144,19.642857142857146,0.97,0.48,0.84,48.35140888752584,64.33290235741659
10.0,296.42857142857144,21.714285714285715,0.93,0.59,0.87,49.30266395731762,76.36263820410517
10.0,296.42857142857144,23.78571428571429,0.95,0.61,0.85,76.35327442869759,91.61160163583507
10.0,296.42857142857144,25.85714285714286,0.94,0.57,0.88,94.18479720421733,105.21247060041516
10.0,296.42857142857144,27.92857142857143,0.88,0.63,0.8,93.48559002561396,108.71909550330247
10.0,296.42857142857144,30.0,0.89,0.61,0.84,107.3927438301936,129.56214868765338
10.0,366.78571428571433,1.0,0.81,0.65,0.92,30.72767002544444,37.28799258807246
10.0,366.78571428571433,3.0714285714285716,0.92,0.52,0.95,27.603722949195127,35.45234199975118
10.0,366.78571428571433,5.142857142857143,0.94,0.45,0.95,33.86530418228868,56.44737203081999
10.0,366.78571428571433,7.214285714285715,0.91,0.46,0.82,12.562173555834203,37.69641732832963
10.0,366.78571428571433,9.285714285714286,0.92,0.47,0.87,12.6058507925768,33.95671507075853
10.0,366.78571428571433,11.357142857142858,0.97,0.53,0.92,15.081795611390353,37.61920741365993
10.0,366.78571428571433,13.42857142857143,0.98,0.52,0.86,14.922218770331687,34.426333310975615
10.0,366.78571428571433,15.500000000000002,0.95,0.55,0.81,31.866317392355278,47.19220167641936
10.0,366.78571428571433,17.571428571428573,0.97,0.55,0.87,35.405735749416095,53.6190035252878
10.0,366.78571428571433,19.642857142857146,0.9,0.45,0.72,53.38554021791964,74.98837125456454
10.0,366.78571428571433,21.714285714285715,0.95,0.5,0.85,67.13665508427229,81.58773346721235
10.0,366.78571428571433,23.78571428571429,0.91,0.53,0.88,67.25814320465376,88.56311414504971
10.0,366.78571428571433,25.85714285714286,0.91,0.53,0.82,79.73058071150498,93.94086539018753
10.0,366.78571428571433,27.92857142857143,0.88,0.62,0.72,90.22397774240041,116.83456718478931
10.0,366.78571428571433,30.0,0.8,0.5,0.67,94.08676741094828,117.17608902507948
10.0,437.14285714285717,1.0,0.86,0.77,0.93,27.847004552486315,16.478592248789422
10.0,437.14285714285717,3.0714285714285716,0.9,0.49,0.91,26.854472075853955,38.46424890103141
10.0,437.14285714285717,5.142857142857143,0.93,0.5,0.97,26.500879933801993,51.903582070442496
10.0,437.14285714285717,7.214285714285715,0.98,0.47,0.87,19.69903537472687,39.875701888568926
10.0,437.14285714285717,9.285714285714286,0.99,0.54,0.88,8.852122347551157,37.74266200525236
10.0,437.14285714285717,11.357142857142858,0.96,0.43,0.82,14.088522409647789,35.52225960490267
10.0,437.14285714285717,13.42857142857143,0.97,0.43,0.73,14.576331706340525,29.417418153986347
10.0,437.14285714285717,15.500000000000002,0.99,0.62,0.88,24.124343322127412,44.51829281797502
10.0,437.14285714285717,17.571428571428573,1.0,0.5,0.78,33.78391029926311,51.1432468743602
10.0,437.14285714285717,19.642857142857146,0.95,0.55,0.81,58.03229512384815,75.33706549968979
10.0,437.14285714285717,21.714285714285715,0.95,0.57,0.83,55.051984869506114,75.68969918009907
10.0,437.14285714285717,23.78571428571429,0.92,0.49,0.74,67.19939066254032,89.07259134328915
10.0,437.14285714285717,25.85714285714286,0.91,0.49,0.8,83.0384215714666,97.18622965395257
10.0,437.14285714285717,27.92857142857143,0.85,0.66,0.8,88.7279005301462,115.44672022634518
10.0,437.14285714285717,30.0,0.9,0.53,0.8,112.62917216891576,116.23920701819043
10.0,507.5,1.0,0.89,0.68,0.94,28.628686428360435,15.743889066036887
10.0,507.5,3.0714285714285716,0.89,0.41,0.93,25.476682985331102,38.29617231377444
10.0,507.5,5.142857142857143,0.92,0.55,0.93,29.37909014850152,53.38312903855019
10.0,507.5,7.214285714285715,0.98,0.5,0.93,14.737306209275522,42.15713705406131
10.0,507.5,9.285714285714286,0.94,0.48,0.89,12.258697786859246,35.46266790982044
10.0,507.5,11.357142857142858,0.99,0.4,0.77,7.499399370394125,22.30708065418192
10.0,507.5,13.42857142857143,0.99,0.54,0.83,15.711184097707335,33.716940208046225
10.0,507.5,15.500000000000002,0.96,0.54,0.75,25.63034488800944,40.449085319406926
10.0,507.5,17.571428571428573,0.97,0.61,0.77,30.355976066625562,45.564038141737036
10.0,507.5,19.642857142857146,1.0,0.5,0.84,42.440152617315555,61.88261078321317
10.0,507.5,21.714285714285715,0.95,0.55,0.75,55.95994991082803,71.17897372994405
10.0,507.5,23.78571428571429,0.97,0.49,0.77,73.11818937142466,92.5255869423575
10.0,507.5,25.85714285714286,0.93,0.5,0.74,75.0645121290594,91.17515042295872
10.0,507.5,27.92857142857143,0.89,0.57,0.77,86.58722797392097,109.95164670584633
10.0,507.5,30.0,0.88,0.5,0.81,108.89375863035582,125.29340836214394
10.0,577.8571428571429,1.0,0.88,0.66,0.9,28.55459909857174,49.927469568612935
10.0,577.8571428571429,3.0714285714285716,0.95,0.58,0.94,27.267061083338902,37.67879645227077
10.0,577.8571428571429,5.142857142857143,0.94,0.49,0.95,40.70455157982713,63.16484734241604
10.0,577.8571428571429,7.214285714285715,0.91,0.53,0.85,24.835771548920405,51.16146524063444
10.0,577.8571428571429,9.285714285714286,0.98,0.53,0.91,10.992622730249696,39.31902350953126
10.0,577.8571428571429,11.357142857142858,0.98,0.52,0.82,8.108651495918778,23.619446073543077
10.0,577.8571428571429,13.42857142857143,0.98,0.5,0.81,12.133798754805284,28.334496469251647
10.0,577.8571428571429,15.500000000000002,0.96,0.47,0.76,28.59240982571453,49.826121814962804
10.0,577.8571428571429,17.571428571428573,0.91,0.57,0.79,39.2292508012078,54.188497674832426
10.0,577.8571428571429,19.642857142857146,0.97,0.51,0.75,62.63554597879593,73.74740286084804
10.0,577.8571428571429,21.714285714285715,0.93,0.6,0.74,53.26883488293219,71.66868882129961
10.0,577.8571428571429,23.78571428571429,0.91,0.5,0.8,79.44648949793235,88.9590339737083
10.0,577.8571428571429,25.85714285714286,0.89,0.47,0.78,83.79663733295389,96.10700556219491
10.0,577.8571428571429,27.92857142857143,0.88,0.57,0.77,86.37016502330856,113.62594304603985
10.0,577.8571428571429,30.0,0.88,0.54,0.73,116.31317773402382,125.43743560696797
10.0,648.2142857142858,1.0,0.81,0.58,0.91,28.69680412542466,19.374420160510155
10.0,648.2142857142858,3.0714285714285716,0.93,0.47,0.93,42.1672728358568,47.47712767546665
10.0,648.2142857142858,5.142857142857143,0.89,0.51,0.95,37.10970129694381,54.90823753420181
10.0,648.2142857142858,7.214285714285715,0.99,0.51,0.91,17.03932310279108,39.91545950325482
10.0,648.2142857142858,9.285714285714286,0.94,0.44,0.82,12.555564302830234,38.360898339730696
10.0,648.2142857142858,11.357142857142858,0.95,0.5,0.83,11.796829340908833,30.871226813199954
10.0,648.2142857142858,13.42857142857143,0.99,0.52,0.83,16.86457548065477,38.92129251965213
10.0,648.2142857142858,15.500000000000002,0.96,0.5,0.78,25.79085240819898,42.63673085443302
10.0,648.2142857142858,17.571428571428573,0.98,0.52,0.83,38.95828156969755,62.150462155384865
10.0,648.2142857142858,19.642857142857146,0.97,0.57,0.82,43.77533044163615,62.979466033699694
10.0,648.2142857142858,21.714285714285715,0.92,0.45,0.8,42.40259139289147,65.5219581915607
10.0,648.2142857142858,23.78571428571429,0.9,0.5,0.79,74.44460574597478,97.26280712139612
10.0,648.2142857142858,25.85714285714286,0.91,0.47,0.78,80.35279898187942,103.13462064708513
10.0,648.2142857142858,27.92857142857143,0.87,0.51,0.75,110.04546260332096,121.90311296777577
10.0,648.2142857142858,30.0,0.9,0.48,0.84,104.37684008895101,119.84509735346379
10.0,718.5714285714287,1.0,0.9,0.61,0.96,29.12061079003539,15.091552479586978
10.0,718.5714285714287,3.0714285714285716,0.91,0.47,0.96,28.30260061624442,41.070188276739785
10.0,718.5714285714287,5.142857142857143,0.93,0.39,0.9,35.74025362580485,55.02110413518421
10.0,718.5714285714287,7.214285714285715,0.96,0.52,0.89,19.506583844081266,46.62658961684148
10.0,718.5714285714287,9.285714285714286,0.98,0.46,0.86,14.750929492839095,41.114363177598676
10.0,718.5714285714287,11.357142857142858,0.94,0.49,0.79,11.925070833783701,32.191737176318135
10.0,718.5714285714287,13.42857142857143,0.95,0.57,0.85,17.983353299239543,26.53167626332027
10.0,718.5714285714287,15.500000000000002,0.96,0.59,0.8,31.672742972557153,45.90119401664007
10.0,718.5714285714287,17.571428571428573,0.93,0.58,0.72,42.51233109233549,57.596022612189756
10.0,718.5714285714287,19.642857142857146,0.89,0.51,0.79,34.23544844457184,60.262198961461564
10.0,718.5714285714287,21.714285714285715,0.9,0.57,0.74,52.28135156068019,79.92815330507571
10.0,718.5714285714287,23.78571428571429,0.95,0.53,0.84,71.29926982366295,87.11907921809075
10.0,718.5714285714287,25.85714285714286,0.92,0.61,0.81,63.93946948156503,90.56421208345932
10.0,718.5714285714287,27.92857142857143,0.89,0.48,0.81,106.74518258269997,113.25524585676413
10.0,718.5714285714287,30.0,0.83,0.52,0.71,99.11449913065077,111.66561850102826
10.0,788.9285714285714,1.0,0.81,0.63,0.94,25.625978083312038,17.968691586328813
10.0,788.9285714285714,3.0714285714285716,0.89,0.45,0.97,30.800024826873432,40.65484222760066
10.0,788.9285714285714,5.142857142857143,0.94,0.48,0.93,40.14480736645233,63.485858211672344
10.0,788.9285714285714,7.214285714285715,0.99,0.54,0.92,21.221445796316974,50.391399610819754
10.0,788.9285714285714,9.285714285714286,0.92,0.55,0.81,12.104044940047547,35.40260551089694
10.0,788.9285714285714,11.357142857142858,0.98,0.46,0.85,15.165075854107286,37.40403519383113
10.0,788.9285714285714,13.42857142857143,0.95,0.51,0.86,21.458774466243263,38.41920348987818
10.0,788.9285714285714,15.500000000000002,0.97,0.53,0.74,22.32421077085314,39.821357130686614
10.0,788.9285714285714,17.571428571428573,0.92,0.5,0.82,30.097612519958357,50.98858087767763
10.0,788.9285714285714,19.642857142857146,0.96,0.64,0.77,43.07498150337911,58.41359585072341
10.0,788.9285714285714,21.714285714285715,0.93,0.48,0.75,65.97050638202424,79.13292718958559
10.0,788.9285714285714,23.78571428571429,0.92,0.52,0.84,64.97183040903803,97.29379749588256
10.0,788.9285714285714,25.85714285714286,0.9,0.58,0.78,76.75547910753161,102.01627723545573
10.0,788.9285714285714,27.92857142857143,0.84,0.46,0.72,109.32164241346617,107.36249696281673
10.0,788.9285714285714,30.0,0.86,0.55,0.78,125.28220785012407,139.07372867477034
10.0,859.2857142857143,1.0,0.92,0.54,0.98,29.857231809091815,17.482607440206422
10.0,859.2857142857143,3.0714285714285716,0.9,0.5,0.93,16.92183331363162,29.698883513412113
10.0,859.2857142857143,5.142857142857143,0.95,0.51,0.92,23.617247468924553,51.1715748364637
10.0,859.2857142857143,7.214285714285715,0.97,0.53,0.89,15.056247253010332,38.1990526878057
10.0,859.2857142857143,9.285714285714286,0.94,0.54,0.85,16.506481031317623,43.54254868638766
10.0,859.2857142857143,11.357142857142858,0.98,0.41,0.81,14.203524171004657,40.549279460163035
10.0,859.2857142857143,13.42857142857143,0.98,0.5,0.84,17.42537462936618,34.878385705046504
10.0,859.2857142857143,15.500000000000002,0.98,0.56,0.86,31.6674132310072,45.29206022424579
10.0,859.2857142857143,17.571428571428573,0.98,0.58,0.84,30.65998582419859,47.805284871599795
10.0,859.2857142857143,19.642857142857146,0.95,0.51,0.74,51.21242715310751,68.77846581088318
10.0,859.2857142857143,21.714285714285715,0.93,0.55,0.8,58.72369238075993,75.99404400855333
10.0,859.2857142857143,23.78571428571429,0.91,0.6,0.77,76.61488883197406,88.57950331395892
10.0,859.2857142857143,25.85714285714286,0.93,0.45,0.75,69.89378866970931,98.78258824090516
10.0,859.2857142857143,27.92857142857143,0.83,0.56,0.73,87.8713420592177,110.09620250237687
10.0,859.2857142857143,30.0,0.89,0.52,0.74,104.41554717120101,129.48150957375637
10.0,929.6428571428572,1.0,0.83,0.43,0.93,34.7976173118968,47.361353697259474
10.0,929.6428571428572,3.0714285714285716,0.92,0.52,0.98,28.683909393391076,39.44116271257774
10.0,929.6428571428572,5.142857142857143,0.96,0.57,0.92,26.786076743929254,52.77375331906499
10.0,929.6428571428572,7.214285714285715,0.98,0.41,0.84,22.842046459653282,48.02767362451022
10.0,929.6428571428572,9.285714285714286,0.95,0.51,0.85,4.326036613261174,21.972988199443627
10.0,929.6428571428572,11.357142857142858,0.93,0.52,0.81,15.992174812156724,35.29218312453794
10.0,929.6428571428572,13.42857142857143,0.97,0.55,0.9,12.804985201317374,29.780947147376654
10.0,929.6428571428572,15.500000000000002,0.95,0.5,0.82,25.65860938212506,45.171336940931425
10.0,929.6428571428572,17.571428571428573,0.99,0.47,0.81,43.71206774587201,57.28166630202179
10.0,929.6428571428572,19.642857142857146,0.97,0.58,0.83,54.24048867937283,69.50448592051004
10.0,929.6428571428572,21.714285714285715,0.9,0.54,0.73,60.37171134162234,80.4890762966545
10.0,929.6428571428572,23.78571428571429,0.93,0.45,0.79,67.74088384384432,80.59614282703804
10.0,929.6428571428572,25.85714285714286,0.87,0.53,0.75,68.64508152989605,89.44776808264906
10.0,929.6428571428572,27.92857142857143,0.85,0.53,0.76,84.29057005022213,112.36982397808114
10.0,929.6428571428572,30.0,0.85,0.46,0.73,124.56211960352819,139.92834917443693
10.0,1000.0,1.0,0.79,0.6,0.95,29.770770377586228,34.29991548754517
10.0,1000.0,3.0714285714285716,0.91,0.49,0.94,29.06776224565474,36.84052598007326
10.0,1000.0,5.142857142857143,0.88,0.52,0.91,29.337089750289675,51.69750622889981
10.0,1000.0,7.214285714285715,0.93,0.42,0.84,25.374466538446136,51.9626601973679
10.0,1000.0,9.285714285714286,0.95,0.52,0.85,14.506550351404064,39.27265346770847
10.0,1000.0,11.357142857142858,0.95,0.54,0.83,10.203153133852233,25.57184007839807
10.0,1000.0,13.42857142857143,0.99,0.55,0.86,16.490874065659913,32.213101416288225
10.0,1000.0,15.500000000000002,0.98,0.47,0.77,22.592116057091413,35.839350764686124
10.0,1000.0,17.571428571428573,0.97,0.53,0.75,38.99422960531596,53.99134884083961
10.0,1000.0,19.642857142857146,0.98,0.4,0.77,42.78761577022536,68.32355031062936
10.0,1000.0,21.714285714285715,0.94,0.59,0.85,62.483879908755554,80.30980103329992
10.0,1000.0,23.78571428571429,0.95,0.53,0.78,81.14624135044514,93.81277151626799
10.0,1000.0,25.85714285714286,0.94,0.52,0.84,73.22742883932298,98.6401029424286
10.0,1000.0,27.92857142857143,0.88,0.5,0.8,88.43420954101501,104.92410952541366
10.0,1000.0,30.0,0.89,0.46,0.75,117.44294822762856,123.33739301716427
23.57142857142857,15.0,1.0,0.71,1.0,0.97,49.374673348161686,23.592790382510056
23.57142857142857,15.0,3.0714285714285716,0.67,1.0,0.95,36.14347436355506,61.565094560009626
23.57142857142857,15.0,5.142857142857143,0.63,1.0,0.91,15.743104402219851,43.58454782418923
23.57142857142857,15.0,7.214285714285715,0.55,1.0,0.86,7.347319680339423,25.196466734670874
23.57142857142857,15.0,9.285714285714286,0.53,1.0,0.85,6.0903427321490975,22.409086314851436
23.57142857142857,15.0,11.357142857142858,0.54,0.98,0.85,15.617201386762224,32.58787059193781
23.57142857142857,15.0,13.42857142857143,0.57,1.0,0.8,22.86650448531803,52.82561440036254
23.57142857142857,15.0,15.500000000000002,0.59,1.0,0.81,19.024778810723703,52.53516148871915
23.57142857142857,15.0,17.571428571428573,0.56,0.99,0.86,23.765020050350913,63.16490194120108
23.57142857142857,15.0,19.642857142857146,0.57,0.99,0.84,34.58949263461197,90.59097309501625
23.57142857142857,15.0,21.714285714285715,0.55,0.96,0.8,40.1633804185373,100.06223453868643
23.57142857142857,15.0,23.78571428571429,0.55,0.98,0.78,53.808144465359426,115.83764860237373
23.57142857142857,15.0,25.85714285714286,0.53,1.0,0.78,37.71300361488608,90.76469410313747
23.57142857142857,15.0,27.92857142857143,0.33,0.99,0.69,72.92792594186596,159.00025087023823
23.57142857142857,15.0,30.0,0.53,0.98,0.87,53.88970590919361,137.53833313244226
23.57142857142857,85.35714285714286,1.0,0.89,0.99,0.96,-6.852923956319454,19.83231705686963
23.57142857142857,85.35714285714286,3.0714285714285716,0.85,0.99,0.96,-5.861130564874703,0.40908354352481535
23.57142857142857,85.35714285714286,5.142857142857143,0.83,0.92,0.97,-5.682292444966709,0.6479693192039456
23.57142857142857,85.35714285714286,7.214285714285715,0.86,0.9,0.95,-5.715967235827776,0.6992526458145003
23.57142857142857,85.35714285714286,9.285714285714286,0.79,0.83,0.93,-5.4748933519989915,1.0076483709163895
23.57142857142857,85.35714285714286,11.357142857142858,0.78,0.67,0.86,-5.395271208412202,0.9336738856028453
23.57142857142857,85.35714285714286,13.42857142857143,0.73,0.66,0.87,-5.156214976422221,1.4562773685282033
23.57142857142857,85.35714285714286,15.500000000000002,0.76,0.64,0.78,-5.086419740313168,1.4219297816087235
23.57142857142857,85.35714285714286,17.571428571428573,0.82,0.66,0.83,-5.0511475018465894,1.5531577513388943
23.57142857142857,85.35714285714286,19.642857142857146,0.84,0.7,0.83,-5.240993652063018,1.342290048370601
23.57142857142857,85.35714285714286,21.714285714285715,0.77,0.66,0.79,-4.901456802300361,1.744545581367677
23.57142857142857,85.35714285714286,23.78571428571429,0.67,0.72,0.79,-4.976053216493915,1.781621580189247
23.57142857142857,85.35714285714286,25.85714285714286,0.82,0.74,0.77,-5.034658168101656,1.8127563924471854
23.57142857142857,85.35714285714286,27.92857142857143,0.81,0.64,0.78,-4.93755275388635,1.510480186240279
23.57142857142857,85.35714285714286,30.0,0.78,0.65,0.73,-4.794914097155783,1.8514215766212188
23.57142857142857,155.71428571428572,1.0,0.93,0.99,0.95,-2.8737787942331687,22.295297499560494
23.57142857142857,155.71428571428572,3.0714285714285716,0.87,0.83,0.97,-5.848215409876996,0.4695214291028559
23.57142857142857,155.71428571428572,5.142857142857143,0.86,0.77,0.93,-5.794276890689868,0.6248712080793427
23.57142857142857,155.71428571428572,7.214285714285715,0.81,0.68,0.88,-5.770605076499069,0.6215317325357513
23.57142857142857,155.71428571428572,9.285714285714286,0.81,0.57,0.87,-5.419887133101716,1.1981098135790273
23.57142857142857,155.71428571428572,11.357142857142858,0.82,0.66,0.81,-5.483701150293423,1.1239837778572053
23.57142857142857,155.71428571428572,13.42857142857143,0.83,0.63,0.82,-5.583270035641913,0.8849252667711606
23.57142857142857,155.71428571428572,15.500000000000002,0.77,0.57,0.79,-5.184482857475818,1.6467839781700402
23.57142857142857,155.71428571428572,17.571428571428573,0.8,0.67,0.79,-5.4905549117996655,1.4207401157874902
23.57142857142857,155.71428571428572,19.642857142857146,0.78,0.61,0.78,-5.191467514577847,1.5010465448073471
23.57142857142857,155.71428571428572,21.714285714285715,0.82,0.72,0.78,-5.555891838438628,1.2437955846688236
23.57142857142857,155.71428571428572,23.78571428571429,0.72,0.63,0.69,-5.306132878023091,1.2596042359700548
23.57142857142857,155.71428571428572,25.85714285714286,0.82,0.7,0.79,-5.311551144307373,1.4487771508717369
23.57142857142857,155.71428571428572,27.92857142857143,0.75,0.64,0.78,-5.190903011760644,1.543246022331276
23.57142857142857,155.71428571428572,30.0,0.69,0.68,0.74,-5.220763839722333,1.8316833982088365
23.57142857142857,226.07142857142858,1.0,0.89,0.98,0.99,-6.096357603370849,0.1400589913741035
23.57142857142857,226.07142857142858,3.0714285714285716,0.87,0.69,0.98,-5.887272186335779,0.43649952274294596
23.57142857142857,226.07142857142858,5.142857142857143,0.89,0.56,0.91,-5.7720076943669,0.6180906463581396
23.57142857142857,226.07142857142858,7.214285714285715,0.83,0.58,0.91,-5.732760033404215,0.6803012746553189
23.57142857142857,226.07142857142858,9.285714285714286,0.87,0.63,0.9,-5.72669784314501,0.7089384121354168
23.57142857142857,226.07142857142858,11.357142857142858,0.86,0.67,0.86,-5.6807163069869295,0.846619957370534
23.57142857142857,226.07142857142858,13.42857142857143,0.74,0.54,0.76,-5.365604306093327,1.355075224638379
23.57142857142857,226.07142857142858,15.500000000000002,0.85,0.66,0.86,-5.6004135024135415,1.1307342934586864
23.57142857142857,226.07142857142858,17.571428571428573,0.81,0.58,0.76,-5.459074209381595,1.1855378071235811
23.57142857142857,226.07142857142858,19.642857142857146,0.89,0.7,0.85,-5.695121138943075,0.8703075861124464
23.57142857142857,226.07142857142858,21.714285714285715,0.7,0.6,0.79,-5.319924182030155,1.4866537618530544
23.57142857142857,226.07142857142858,23.78571428571429,0.76,0.68,0.78,-5.356528100076499,1.5948676090331422
23.57142857142857,226.07142857142858,25.85714285714286,0.78,0.61,0.79,-5.366367903179914,1.186115112833842
23.57142857142857,226.07142857142858,27.92857142857143,0.7,0.65,0.74,-5.3802364759594195,1.3221389507852077
23.57142857142857,226.07142857142858,30.0,0.78,0.72,0.76,-5.471942123230992,1.354954525927854
23.57142857142857,296.42857142857144,1.0,0.9,0.96,0.99,-6.086739129947303,0.16480275167879055
23.57142857142857,296.42857142857144,3.0714285714285716,0.83,0.64,0.97,-5.844684612396259,0.44763883004120775
23.57142857142857,296.42857142857144,5.142857142857143,0.89,0.68,0.92,-5.891261345665144,0.552837220073495
23.57142857142857,296.42857142857144,7.214285714285715,0.89,0.65,0.94,-5.7537207102204615,0.7922623970170624
